period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,generation,generation-units
2019-12,60678,San Joaquin Solar,SUN,Solar,CA,California,ALL,1391.01,megawatthours
2019-12,60678,San Joaquin Solar,SUN,Solar,CA,California,PV,1391.01,megawatthours
2019-11,57254,Victor Valley CC CPV Solar,SUN,Solar,CA,California,ALL,66.89,megawatthours
2019-11,57254,Victor Valley CC CPV Solar,SUN,Solar,CA,California,PV,66.89,megawatthours
2019-12,58307,Ivanhoe Solar,SUN,Solar,CA,California,ALL,235.71,megawatthours
2019-12,58307,Ivanhoe Solar,SUN,Solar,CA,California,PV,235.71,megawatthours
2019-12,58308,Lindsay Solar,SUN,Solar,CA,California,ALL,263.81,megawatthours
2019-12,58308,Lindsay Solar,SUN,Solar,CA,California,PV,263.81,megawatthours
2019-12,58309,Porterville Solar,SUN,Solar,CA,California,ALL,235.78,megawatthours
2019-12,58309,Porterville Solar,SUN,Solar,CA,California,PV,235.78,megawatthours
2019-12,62611,PFMG Solar Grossmont Helix LLC,SUN,Solar,CA,California,ALL,79.4,megawatthours
2019-12,62611,PFMG Solar Grossmont Helix LLC,SUN,Solar,CA,California,PV,79.4,megawatthours
2019-12,62649,SFDK Solar,SUN,Solar,CA,California,ALL,69.0,megawatthours
2019-12,62649,SFDK Solar,SUN,Solar,CA,California,PV,69.0,megawatthours
2019-12,62655,HL Solar,SUN,Solar,CA,California,ALL,233.71,megawatthours
2019-12,62655,HL Solar,SUN,Solar,CA,California,PV,233.71,megawatthours
2019-12,59687,Sun Harvest Solar NDP1,SUN,Solar,CA,California,ALL,112.4,megawatthours
2019-12,59687,Sun Harvest Solar NDP1,SUN,Solar,CA,California,PV,112.4,megawatthours
2019-12,59703,"Cottonwood Solar, LLC Cottonwood Carport",SUN,Solar,CA,California,ALL,47.19,megawatthours
2019-12,59703,"Cottonwood Solar, LLC Cottonwood Carport",SUN,Solar,CA,California,PV,47.19,megawatthours
2019-11,62274,Liberty HS Solar Project,SUN,Solar,CA,California,ALL,147.04,megawatthours
2019-11,62274,Liberty HS Solar Project,SUN,Solar,CA,California,PV,147.04,megawatthours
2019-11,62275,Frontier HS Solar Project,SUN,Solar,CA,California,ALL,145.88,megawatthours
2019-11,62275,Frontier HS Solar Project,SUN,Solar,CA,California,PV,145.88,megawatthours
2019-11,62286,Xebec 1,SUN,Solar,CA,California,ALL,181.77,megawatthours
2019-11,62286,Xebec 1,SUN,Solar,CA,California,PV,181.77,megawatthours
2019-11,62287,Francisco St. Solar,SUN,Solar,CA,California,ALL,122.25,megawatthours
2019-11,62287,Francisco St. Solar,SUN,Solar,CA,California,PV,122.25,megawatthours
2019-11,62288,"Valentine Solar, LLC",SUN,Solar,CA,California,ALL,13432.0,megawatthours
2019-11,62288,"Valentine Solar, LLC",SUN,Solar,CA,California,PV,13432.0,megawatthours
2019-12,58073,SEPV 1,SUN,Solar,CA,California,ALL,172.43,megawatthours
2019-12,58073,SEPV 1,SUN,Solar,CA,California,PV,172.43,megawatthours
2019-12,58074,SEPV 2,SUN,Solar,CA,California,ALL,158.99,megawatthours
2019-12,58074,SEPV 2,SUN,Solar,CA,California,PV,158.99,megawatthours
2019-12,58076,Edwards Air Force Base,SUN,Solar,CA,California,ALL,88.7,megawatthours
2019-12,58076,Edwards Air Force Base,SUN,Solar,CA,California,PV,88.7,megawatthours
2019-12,58086,Intel Folsom,SUN,Solar,CA,California,ALL,54.13,megawatthours
2019-12,58086,Intel Folsom,SUN,Solar,CA,California,PV,54.13,megawatthours
2021-02,60094,"Blythe Solar III, LLC Hybrid",SUN,Solar,CA,California,ALL,19787.0,megawatthours
2021-02,60094,"Blythe Solar III, LLC Hybrid",SUN,Solar,CA,California,PV,19787.0,megawatthours
2021-02,60095,"Blythe Solar IV, LLC",SUN,Solar,CA,California,ALL,24981.0,megawatthours
2021-02,60095,"Blythe Solar IV, LLC",SUN,Solar,CA,California,PV,24981.0,megawatthours
2021-02,60185,Solverde 1,SUN,Solar,CA,California,ALL,14647.0,megawatthours
2021-02,60185,Solverde 1,SUN,Solar,CA,California,PV,14647.0,megawatthours
2019-12,59411,"Mitchell Solar, LLC",SUN,Solar,CA,California,ALL,141.65,megawatthours
2019-12,59411,"Mitchell Solar, LLC",SUN,Solar,CA,California,PV,141.65,megawatthours
2019-12,59412,Algonquin SKIC20 Solar LLC,SUN,Solar,CA,California,ALL,1714.66,megawatthours
2019-12,59412,Algonquin SKIC20 Solar LLC,SUN,Solar,CA,California,PV,1714.66,megawatthours
2019-12,59413,Corcoran Solar 2,SUN,Solar,CA,California,ALL,1750.05,megawatthours
2019-12,59413,Corcoran Solar 2,SUN,Solar,CA,California,PV,1750.05,megawatthours
2019-12,59414,Atwell Island West Solar,SUN,Solar,CA,California,ALL,1903.0,megawatthours
2019-12,59414,Atwell Island West Solar,SUN,Solar,CA,California,PV,1903.0,megawatthours
2019-12,59416,Anaheim Solar Energy Plant,SUN,Solar,CA,California,ALL,114.01,megawatthours
2019-12,59416,Anaheim Solar Energy Plant,SUN,Solar,CA,California,PV,114.01,megawatthours
2019-12,59421,SCE-Snowline-White Road (South),SUN,Solar,CA,California,ALL,137.07,megawatthours
2019-12,59421,SCE-Snowline-White Road (South),SUN,Solar,CA,California,PV,137.07,megawatthours
2019-12,59422,SCE-Snowline-White Road (North),SUN,Solar,CA,California,ALL,139.64,megawatthours
2019-12,59422,SCE-Snowline-White Road (North),SUN,Solar,CA,California,PV,139.64,megawatthours
2019-12,59423,SCE-Snowline-White Rd (Central),SUN,Solar,CA,California,ALL,140.25,megawatthours
2019-12,59423,SCE-Snowline-White Rd (Central),SUN,Solar,CA,California,PV,140.25,megawatthours
2019-12,60813,Cloverdale Solar Center,SUN,Solar,CA,California,ALL,65.25,megawatthours
2019-12,60813,Cloverdale Solar Center,SUN,Solar,CA,California,PV,65.25,megawatthours
2019-12,60824,Valley Sanitary District WTP Solar,SUN,Solar,CA,California,ALL,66.68,megawatthours
2019-12,60824,Valley Sanitary District WTP Solar,SUN,Solar,CA,California,PV,66.68,megawatthours
2019-12,60825,Colgreen North Shore Solar Farm,SUN,Solar,CA,California,ALL,7438.0,megawatthours
2019-12,60825,Colgreen North Shore Solar Farm,SUN,Solar,CA,California,PV,7438.0,megawatthours
2019-12,60844,Genentech Vacaville Meter #1,SUN,Solar,CA,California,ALL,446.85,megawatthours
2019-12,60844,Genentech Vacaville Meter #1,SUN,Solar,CA,California,PV,446.85,megawatthours
2019-12,60846,US GSA - Sacramento,SUN,Solar,CA,California,ALL,73.22,megawatthours
2019-12,60846,US GSA - Sacramento,SUN,Solar,CA,California,PV,73.22,megawatthours
2019-12,62578,Preferred Freezer San Leandro,SUN,Solar,CA,California,ALL,123.7,megawatthours
2019-12,62578,Preferred Freezer San Leandro,SUN,Solar,CA,California,PV,123.7,megawatthours
2019-12,62687,American Canyon Solar,SUN,Solar,CA,California,ALL,199.67,megawatthours
2019-12,62687,American Canyon Solar,SUN,Solar,CA,California,PV,199.67,megawatthours
2019-12,62688,Malech Solar Farm,SUN,Solar,CA,California,ALL,201.74,megawatthours
2019-12,62688,Malech Solar Farm,SUN,Solar,CA,California,PV,201.74,megawatthours
2019-12,62689,Hellyer Solar Farm,SUN,Solar,CA,California,ALL,130.6,megawatthours
2019-12,62689,Hellyer Solar Farm,SUN,Solar,CA,California,PV,130.6,megawatthours
2019-12,62690,Guadalupe Solar Farm,SUN,Solar,CA,California,ALL,108.47,megawatthours
2019-12,62690,Guadalupe Solar Farm,SUN,Solar,CA,California,PV,108.47,megawatthours
2019-12,58354,Radiance Solar 4,SUN,Solar,CA,California,ALL,115.08,megawatthours
2019-12,58354,Radiance Solar 4,SUN,Solar,CA,California,PV,115.08,megawatthours
2019-12,58355,Radiance Solar 5,SUN,Solar,CA,California,ALL,114.8,megawatthours
2019-12,58355,Radiance Solar 5,SUN,Solar,CA,California,PV,114.8,megawatthours
2019-12,58366,Atwell Island,SUN,Solar,CA,California,ALL,1343.99,megawatthours
2019-12,58366,Atwell Island,SUN,Solar,CA,California,PV,1343.99,megawatthours
2019-12,58370,Gridley Main,SUN,Solar,CA,California,ALL,52.52,megawatthours
2019-12,58370,Gridley Main,SUN,Solar,CA,California,PV,52.52,megawatthours
2019-12,58371,Gridley Main Two,SUN,Solar,CA,California,ALL,148.55,megawatthours
2019-12,58371,Gridley Main Two,SUN,Solar,CA,California,PV,148.55,megawatthours
2019-12,58373,White River Solar,SUN,Solar,CA,California,ALL,1687.81,megawatthours
2019-12,58373,White River Solar,SUN,Solar,CA,California,PV,1687.81,megawatthours
2019-12,58374,Corcoran Solar,SUN,Solar,CA,California,ALL,1598.01,megawatthours
2019-12,58374,Corcoran Solar,SUN,Solar,CA,California,PV,1598.01,megawatthours
2019-12,58376,Oakley Solar Project,SUN,Solar,CA,California,ALL,81.94,megawatthours
2019-12,58376,Oakley Solar Project,SUN,Solar,CA,California,PV,81.94,megawatthours
2019-12,56768,CalRenew-1,SUN,Solar,CA,California,ALL,320.47,megawatthours
2019-12,56768,CalRenew-1,SUN,Solar,CA,California,PV,320.47,megawatthours
2019-12,56813,CSU Fresno Solar Project,SUN,Solar,CA,California,ALL,53.09,megawatthours
2019-12,56813,CSU Fresno Solar Project,SUN,Solar,CA,California,PV,53.09,megawatthours
2019-12,60861,Dept of General Services -FTB,SUN,Solar,CA,California,ALL,186.73,megawatthours
2019-12,60861,Dept of General Services -FTB,SUN,Solar,CA,California,PV,186.73,megawatthours
2019-12,60869,"Solar Star California, XLIV, LLC",SUN,Solar,CA,California,ALL,941.79,megawatthours
2019-12,60869,"Solar Star California, XLIV, LLC",SUN,Solar,CA,California,PV,941.79,megawatthours
2019-12,58388,Solar Star 1,SUN,Solar,CA,California,ALL,31357.0,megawatthours
2019-12,58388,Solar Star 1,SUN,Solar,CA,California,PV,31357.0,megawatthours
2019-12,59748,CDCR (CA) - Pleasant Valley State Prison,SUN,Solar,CA,California,ALL,108.15,megawatthours
2019-12,59748,CDCR (CA) - Pleasant Valley State Prison,SUN,Solar,CA,California,PV,108.15,megawatthours
2021-04,58169,CSUF Trigeneration,SUN,Solar,CA,California,ALL,700.0,megawatthours
2021-04,58169,CSUF Trigeneration,SUN,Solar,CA,California,PV,700.0,megawatthours
2021-02,60590,"Golden Fields Solar I, LLC",SUN,Solar,CA,California,ALL,7708.0,megawatthours
2021-02,60590,"Golden Fields Solar I, LLC",SUN,Solar,CA,California,PV,7708.0,megawatthours
2021-02,60591,"Solar Star California, XLI, LLC",SUN,Solar,CA,California,ALL,6366.0,megawatthours
2021-02,60591,"Solar Star California, XLI, LLC",SUN,Solar,CA,California,PV,6366.0,megawatthours
2019-12,60947,Jacumba Solar Farm,SUN,Solar,CA,California,ALL,1578.02,megawatthours
2019-12,60947,Jacumba Solar Farm,SUN,Solar,CA,California,PV,1578.02,megawatthours
2019-12,60953,Owens Valley Solar Project 11,SUN,Solar,CA,California,ALL,100.78,megawatthours
2019-12,60953,Owens Valley Solar Project 11,SUN,Solar,CA,California,PV,100.78,megawatthours
2019-12,60975,Whitney Point Solar,SUN,Solar,CA,California,ALL,1846.98,megawatthours
2019-12,60975,Whitney Point Solar,SUN,Solar,CA,California,PV,1846.98,megawatthours
2019-12,60978,CSUF State College,SUN,Solar,CA,California,ALL,58.99,megawatthours
2019-12,60978,CSUF State College,SUN,Solar,CA,California,PV,58.99,megawatthours
2019-12,60979,CSUF Nutwood Solar,SUN,Solar,CA,California,ALL,108.97,megawatthours
2019-12,60979,CSUF Nutwood Solar,SUN,Solar,CA,California,PV,108.97,megawatthours
2019-12,60981,NextEra Westside PV,SUN,Solar,CA,California,ALL,1814.26,megawatthours
2019-12,60981,NextEra Westside PV,SUN,Solar,CA,California,PV,1814.26,megawatthours
2019-12,60914,Westmont 300B,SUN,Solar,CA,California,ALL,188.95,megawatthours
2019-12,60914,Westmont 300B,SUN,Solar,CA,California,PV,188.95,megawatthours
2019-11,59550,Putah Creek Solar Farm,SUN,Solar,CA,California,ALL,275.34,megawatthours
2019-11,59550,Putah Creek Solar Farm,SUN,Solar,CA,California,PV,275.34,megawatthours
2019-11,59555,Vega Solar,SUN,Solar,CA,California,ALL,2726.5,megawatthours
2019-11,59555,Vega Solar,SUN,Solar,CA,California,PV,2726.5,megawatthours
2019-12,60984,Lindberg Field Solar 2,SUN,Solar,CA,California,ALL,176.11,megawatthours
2019-12,60984,Lindberg Field Solar 2,SUN,Solar,CA,California,PV,176.11,megawatthours
2019-12,60995,Ramona Solar Energy,SUN,Solar,CA,California,ALL,240.11,megawatthours
2019-12,60995,Ramona Solar Energy,SUN,Solar,CA,California,PV,240.11,megawatthours
