period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,generation,gross-generation,generation-units,gross-generation-units
2018-05-01,60251,IMPA Huntingburg Solar Park,SUN,Solar,IN,Indiana,PV,321.31,326.18,megawatthours,megawatthours
2018-05-01,60252,IMPA Washington Solar Park,SUN,Solar,IN,Indiana,ALL,600.7,608.89,megawatthours,megawatthours
2018-05-01,60252,IMPA Washington Solar Park,SUN,Solar,IN,Indiana,PV,600.7,608.89,megawatthours,megawatthours
2018-05-01,60350,"NRG Solar Las Vegas MB 2, LLC",SUN,Solar,NV,Nevada,ALL,251.67,276.88,megawatthours,megawatthours
2018-05-01,60350,"NRG Solar Las Vegas MB 2, LLC",SUN,Solar,NV,Nevada,PV,251.67,276.88,megawatthours,megawatthours
2018-05-01,60351,Bison Solar LLC,SUN,Solar,CO,Colorado,ALL,7090.34,7090.34,megawatthours,megawatthours
2018-05-01,60351,Bison Solar LLC,SUN,Solar,CO,Colorado,PV,7090.34,7090.34,megawatthours,megawatthours
2018-05-01,60352,"Boulder Solar Power, LLC",SUN,Solar,NV,Nevada,ALL,31586.0,31586.0,megawatthours,megawatthours
2018-05-01,60352,"Boulder Solar Power, LLC",SUN,Solar,NV,Nevada,PV,31586.0,31586.0,megawatthours,megawatthours
2018-05-01,60353,Cecil County CCVT HS,SUN,Solar,MD,Maryland,ALL,300.48,300.48,megawatthours,megawatthours
2018-05-01,60353,Cecil County CCVT HS,SUN,Solar,MD,Maryland,PV,300.48,300.48,megawatthours,megawatthours
2018-05-01,60354,Brady II Wind Energy Center,WND,Wind,ND,North Dakota,ALL,40241.0,41541.0,megawatthours,megawatthours
2018-05-01,60354,Brady II Wind Energy Center,WND,Wind,ND,North Dakota,WT,40241.0,41541.0,megawatthours,megawatthours
2017-11-01,56617,Fenton Wind Farm,WND,Wind,MN,Minnesota,ALL,67361.0,68327.0,megawatthours,megawatthours
2017-11-01,56617,Fenton Wind Farm,WND,Wind,MN,Minnesota,WT,67361.0,68327.0,megawatthours,megawatthours
2017-11-01,56618,Noble Clinton Windpark LLC,WND,Wind,NY,New York,ALL,14966.44,15190.35,megawatthours,megawatthours
2017-11-01,56618,Noble Clinton Windpark LLC,WND,Wind,NY,New York,WT,14966.44,15190.35,megawatthours,megawatthours
2018-05-01,60463,Greene County Meter #1,SUN,Solar,NY,New York,ALL,26.49,26.49,megawatthours,megawatthours
2018-05-01,60463,Greene County Meter #1,SUN,Solar,NY,New York,PV,26.49,26.49,megawatthours,megawatthours
2018-05-01,60465,Chesapeake College,SUN,Solar,MD,Maryland,ALL,207.97,207.97,megawatthours,megawatthours
2018-05-01,60465,Chesapeake College,SUN,Solar,MD,Maryland,PV,207.97,207.97,megawatthours,megawatthours
2018-05-01,60467,Red Rock,SUN,Solar,AZ,Arizona,ALL,12747.0,12747.0,megawatthours,megawatthours
2018-05-01,60467,Red Rock,SUN,Solar,AZ,Arizona,PV,12747.0,12747.0,megawatthours,megawatthours
2018-05-01,60469,Solar Glynn,SUN,Solar,GA,Georgia,ALL,3052.89,3059.03,megawatthours,megawatthours
2018-05-01,60469,Solar Glynn,SUN,Solar,GA,Georgia,PV,3052.89,3059.03,megawatthours,megawatthours
2018-05-01,60470,Paulding Wind Farm III,WND,Wind,OH,Ohio,ALL,26557.0,26650.0,megawatthours,megawatthours
2018-05-01,60470,Paulding Wind Farm III,WND,Wind,OH,Ohio,WT,26557.0,26650.0,megawatthours,megawatthours
2018-05-01,60472,CPS 1 Community Solar,SUN,Solar,TX,Texas,ALL,168.99,168.99,megawatthours,megawatthours
2018-05-01,60472,CPS 1 Community Solar,SUN,Solar,TX,Texas,PV,168.99,168.99,megawatthours,megawatthours
2017-11-01,10586,Cameron Ridge LLC,WND,Wind,CA,California,ALL,5858.93,5858.93,megawatthours,megawatthours
2017-11-01,10586,Cameron Ridge LLC,WND,Wind,CA,California,WT,5858.93,5858.93,megawatthours,megawatthours
2018-03-01,10718,Karen Avenue Wind Farm,WND,Wind,CA,California,ALL,2364.92,2364.92,megawatthours,megawatthours
2018-06-01,10005,Dinosaur Point,WND,Wind,CA,California,ALL,1206.05,1333.1,megawatthours,megawatthours
2018-05-01,61813,"Ranchland Solar, LLC",SUN,Solar,NC,North Carolina,PV,13783.0,13783.0,megawatthours,megawatthours
2018-05-01,61814,Kearsarge Concord II,SUN,Solar,MA,Massachusetts,ALL,805.22,812.93,megawatthours,megawatthours
2018-05-01,61814,Kearsarge Concord II,SUN,Solar,MA,Massachusetts,PV,805.22,812.93,megawatthours,megawatthours
2018-05-01,61815,Kearsarge Granby,SUN,Solar,MA,Massachusetts,ALL,436.58,440.8,megawatthours,megawatthours
2018-05-01,61815,Kearsarge Granby,SUN,Solar,MA,Massachusetts,PV,436.58,440.8,megawatthours,megawatthours
2018-05-01,61819,IKEA Conshohocken Rooftop PV System,SUN,Solar,PA,Pennsylvania,ALL,93.17,93.17,megawatthours,megawatthours
2018-05-01,61819,IKEA Conshohocken Rooftop PV System,SUN,Solar,PA,Pennsylvania,PV,93.17,93.17,megawatthours,megawatthours
2018-05-01,61820,IKEA New Haven Rooftop PV &  Fuel Cell,SUN,Solar,CT,Connecticut,ALL,113.29,113.29,megawatthours,megawatthours
2018-05-01,61820,IKEA New Haven Rooftop PV &  Fuel Cell,SUN,Solar,CT,Connecticut,PV,113.29,113.29,megawatthours,megawatthours
2018-05-01,62043,First Baptist Church of Glenarden,SUN,Solar,MD,Maryland,ALL,234.66,234.66,megawatthours,megawatthours
2018-05-01,62043,First Baptist Church of Glenarden,SUN,Solar,MD,Maryland,PV,234.66,234.66,megawatthours,megawatthours
2018-05-01,62045,USS Norelius Solar CSG,SUN,Solar,MN,Minnesota,ALL,0.0,0.0,megawatthours,megawatthours
2018-05-01,62045,USS Norelius Solar CSG,SUN,Solar,MN,Minnesota,PV,0.0,0.0,megawatthours,megawatthours
2018-05-01,62047,USS JJ Solar CSG,SUN,Solar,MN,Minnesota,ALL,0.0,0.0,megawatthours,megawatthours
2018-05-01,62047,USS JJ Solar CSG,SUN,Solar,MN,Minnesota,PV,0.0,0.0,megawatthours,megawatthours
2018-05-01,62049,USS Brockway Solar CSG,SUN,Solar,MN,Minnesota,ALL,0.0,0.0,megawatthours,megawatthours
2018-05-01,62049,USS Brockway Solar CSG,SUN,Solar,MN,Minnesota,PV,0.0,0.0,megawatthours,megawatthours
2018-05-01,59950,Yadkinville Solar,SUN,Solar,NC,North Carolina,ALL,656.98,659.59,megawatthours,megawatthours
2018-05-01,59950,Yadkinville Solar,SUN,Solar,NC,North Carolina,PV,656.98,659.59,megawatthours,megawatthours
2018-05-01,62059,East Longmeadow Solar PV,SUN,Solar,MA,Massachusetts,ALL,0.0,0.0,megawatthours,megawatthours
2018-05-01,62059,East Longmeadow Solar PV,SUN,Solar,MA,Massachusetts,PV,0.0,0.0,megawatthours,megawatthours
2018-05-01,62074,"Bd of Educ of Queen Anne's Cnty, Cnty HS",SUN,Solar,MD,Maryland,ALL,0.0,0.0,megawatthours,megawatthours
2018-05-01,62074,"Bd of Educ of Queen Anne's Cnty, Cnty HS",SUN,Solar,MD,Maryland,PV,0.0,0.0,megawatthours,megawatthours
2018-05-01,62075,Pima Community College,SUN,Solar,AZ,Arizona,ALL,329.86,329.86,megawatthours,megawatthours
2018-05-01,62075,Pima Community College,SUN,Solar,AZ,Arizona,PV,329.86,329.86,megawatthours,megawatthours
2018-05-01,62077,Blue Shld Of Cal- El Dorado Hlls Mtr B,SUN,Solar,CA,California,ALL,0.0,0.0,megawatthours,megawatthours
2018-05-01,60036,CCBC-Catonsville,SUN,Solar,MD,Maryland,ALL,240.51,312.32,megawatthours,megawatthours
2018-05-01,60036,CCBC-Catonsville,SUN,Solar,MD,Maryland,PV,240.51,312.32,megawatthours,megawatthours
2018-05-01,60038,Owens Corning Headquarters,SUN,Solar,OH,Ohio,ALL,232.11,301.48,megawatthours,megawatthours
2018-05-01,60038,Owens Corning Headquarters,SUN,Solar,OH,Ohio,PV,232.11,301.48,megawatthours,megawatthours
2018-05-01,60039,Frontier Solar LLC,SUN,Solar,CA,California,ALL,5987.66,6028.86,megawatthours,megawatthours
2018-05-01,60039,Frontier Solar LLC,SUN,Solar,CA,California,PV,5987.66,6028.86,megawatthours,megawatthours
2018-05-01,60043,"Cuyama Solar, LLC",SUN,Solar,CA,California,ALL,12571.0,12926.0,megawatthours,megawatthours
2018-05-01,60043,"Cuyama Solar, LLC",SUN,Solar,CA,California,PV,12571.0,12926.0,megawatthours,megawatthours
2018-05-01,60044,Buckthorn Solar 1,SUN,Solar,TX,Texas,ALL,0.0,0.0,megawatthours,megawatthours
2018-05-01,60044,Buckthorn Solar 1,SUN,Solar,TX,Texas,PV,0.0,0.0,megawatthours,megawatthours
2018-05-01,60046,Portage Solar,SUN,Solar,IN,Indiana,ALL,277.6,279.03,megawatthours,megawatthours
2018-05-01,60121,"HCE Johnston I, LLC",SUN,Solar,NC,North Carolina,PV,380.13,380.13,megawatthours,megawatthours
2018-05-01,60123,Castle Gap Solar,SUN,Solar,TX,Texas,ALL,44622.0,44696.0,megawatthours,megawatthours
2018-05-01,60123,Castle Gap Solar,SUN,Solar,TX,Texas,PV,44622.0,44696.0,megawatthours,megawatthours
2018-05-01,60124,Goldfinch,SUN,Solar,FL,Florida,ALL,401.14,402.64,megawatthours,megawatthours
2018-05-01,60124,Goldfinch,SUN,Solar,FL,Florida,PV,401.14,402.64,megawatthours,megawatthours
2018-05-01,60126,Harpster Wind,WND,Wind,OH,Ohio,ALL,239.0,239.0,megawatthours,megawatthours
2018-05-01,60126,Harpster Wind,WND,Wind,OH,Ohio,WT,239.0,239.0,megawatthours,megawatthours
2018-05-01,60127,"Eastern Shore Solar, LLC",SUN,Solar,VA,Virginia,ALL,14004.46,14004.46,megawatthours,megawatthours
