period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,generation,gross-generation,generation-units,gross-generation-units
2018-05-01,60366,Old Settler Wind,WND,Wind,TX,Texas,WT,65765.0,66912.0,megawatthours,megawatthours
2018-05-01,60367,"Snow Camp Solar, LLC",SUN,Solar,NC,North Carolina,ALL,1131.73,1134.03,megawatthours,megawatthours
2018-05-01,60367,"Snow Camp Solar, LLC",SUN,Solar,NC,North Carolina,PV,1131.73,1134.03,megawatthours,megawatthours
2018-05-01,60369,Battleboro Farm,SUN,Solar,NC,North Carolina,ALL,832.01,833.68,megawatthours,megawatthours
2018-05-01,60369,Battleboro Farm,SUN,Solar,NC,North Carolina,PV,832.01,833.68,megawatthours,megawatthours
2018-05-01,60370,"Flint Hill Solar, LLC",SUN,Solar,NC,North Carolina,ALL,937.91,939.78,megawatthours,megawatthours
2018-05-01,60370,"Flint Hill Solar, LLC",SUN,Solar,NC,North Carolina,PV,937.91,939.78,megawatthours,megawatthours
2018-05-01,60478,Bethlehem - West,SUN,Solar,NY,New York,PV,214.65,214.65,megawatthours,megawatthours
2018-05-01,60480,"Germantown Solar, LLC",SUN,Solar,NC,North Carolina,ALL,283.43,284.06,megawatthours,megawatthours
2018-05-01,60480,"Germantown Solar, LLC",SUN,Solar,NC,North Carolina,PV,283.43,284.06,megawatthours,megawatthours
