period,respondent,respondent-name,fueltype,type-name,timezone,timezone-description,value,value-units
2022-10-25,IPCO,Idaho Power Company,SUN,Solar,Mountain,Mountain,1417,megawatthours
2022-10-25,JEA,JEA,SUN,Solar,Eastern,Eastern,233,megawatthours
2022-10-24,CENT,Central,SUN,Solar,Mountain,Mountain,728,megawatthours
2022-10-25,BANC,Balancing Authority of Northern California,SUN,Solar,Arizona,Arizona,1232,megawatthours
2022-10-25,BANC,Balancing Authority of Northern California,SUN,Solar,Eastern,Eastern,1232,megawatthours
2022-10-25,LDWP,Los Angeles Department of Water and Power,SUN,Solar,Arizona,Arizona,7772,megawatthours
2022-10-24,PJM,"PJM Interconnection, LLC",SUN,Solar,Pacific,Pacific,14191,megawatthours
2022-10-25,CAL,California,SUN,Solar,Arizona,Arizona,105251,megawatthours
2022-10-25,NE,New England,SUN,Solar,Eastern,Eastern,1024,megawatthours
2022-10-25,WACM,Western Area Power Administration - Rocky Mountain Region,SUN,Solar,Pacific,Pacific,1003,megawatthours
2022-10-25,AZPS,Arizona Public Service Company,SUN,Solar,Eastern,Eastern,4167,megawatthours
2022-10-25,DUK,Duke Energy Carolinas,SUN,Solar,Eastern,Eastern,5958,megawatthours
2022-10-24,FLA,Florida,SUN,Solar,Mountain,Mountain,33015,megawatthours
2022-10-25,PSCO,Public Service Company of Colorado,SUN,Solar,Eastern,Eastern,5457,megawatthours
2022-10-25,PACW,PacifiCorp West,SUN,Solar,Pacific,Pacific,1629,megawatthours
2022-10-25,NY,New York,SUN,Solar,Eastern,Eastern,0,megawatthours
2022-10-27,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Arizona,Arizona,14756,megawatthours
2022-10-28,TEN,Tennessee,SUN,Solar,Central,Central,3676,megawatthours
2022-10-28,WALC,Western Area Power Administration - Desert Southwest Region,SUN,Solar,Mountain,Mountain,1598,megawatthours
2022-10-28,CPLW,Duke Energy Progress West,SUN,Solar,Eastern,Eastern,0,megawatthours
2022-10-28,AVRN,"Avangrid Renewables, LLC",SUN,Solar,Mountain,Mountain,0,megawatthours
2022-10-28,IPCO,Idaho Power Company,SUN,Solar,Eastern,Eastern,1208,megawatthours
2022-10-27,TEN,Tennessee,SUN,Solar,Pacific,Pacific,4441,megawatthours
2022-10-27,PJM,"PJM Interconnection, LLC",SUN,Solar,Mountain,Mountain,21008,megawatthours
2022-10-28,NEVP,Nevada Power Company,SUN,Solar,Mountain,Mountain,15470,megawatthours
2022-10-28,PACE,PacifiCorp East,SUN,Solar,Eastern,Eastern,12049,megawatthours
2022-10-27,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,SUN,Solar,Arizona,Arizona,76,megawatthours
2022-10-27,FPC,"Duke Energy Florida, Inc.",SUN,Solar,Mountain,Mountain,4802,megawatthours
2022-10-28,SW,Southwest,SUN,Solar,Mountain,Mountain,16345,megawatthours
2022-10-27,NY,New York,SUN,Solar,Pacific,Pacific,0,megawatthours
2022-10-27,FLA,Florida,SUN,Solar,Pacific,Pacific,30852,megawatthours
